year,戲劇,音樂,舞蹈,親子,其他
2013,2312,1661,684,724,641
2014,2651,1717,754,925,531
2015,2744,1627,773,970,446
2016,2603,1805,696,802,532
2017,2720,1838,808,831,504
2018,2875,2016,705,904,558
2019,2916,2139,693,815,556
