year,戲劇,音樂,舞蹈,親子,其他
2013,7.7,2.5,1.1,0.9,0.7
2014,5.8,3,1.5,1.2,0.6
2015,5.7,2.7,1.1,1.2,0.5
2016,5.7,3.4,0.8,1.1,0.4
2017,6,3.7,1.2,1.1,0.6
2018,6.3,3.6,1.1,1.1,0.5
2019,6.1,4.4,1.1,1.3,0.6
